epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,683.803,2.24978,0.9838,2.52672,0.73151,0.61549,0.70548,0.49854,0.96179,0.4293,1.13708,0.00950511,4.99893e-06,4.99893e-06
2,1282.47,2.04416,0.52649,2.36872,0.81126,0.7036,0.81047,0.57506,0.89863,0.31307,1.09943,0.00901011,9.99865e-06,9.99865e-06
3,1866.35,1.97121,0.46056,2.35557,0.7961,0.71696,0.81052,0.59949,0.86791,0.23634,1.05829,0.0085151,1.49973e-05,1.49973e-05
4,2440.71,1.86275,0.41358,2.23486,0.8635,0.73565,0.84526,0.60179,0.88611,0.24163,1.06631,0.0080201,1.9994e-05,1.9994e-05
5,3008.19,1.85307,0.39655,2.24169,0.87799,0.79973,0.88819,0.67264,0.77862,0.22753,1.02726,0.0075251,2.4988e-05,2.4988e-05
6,3573.15,1.80023,0.38191,2.21725,0.86687,0.78371,0.88359,0.67218,0.75673,0.20273,1.00782,0.00703009,2.99784e-05,2.99784e-05
7,4132.05,1.72424,0.36269,2.12709,0.88449,0.80107,0.90223,0.67295,0.80327,0.19617,1.02743,0.00653507,3.49644e-05,3.49644e-05
8,4696.79,1.74337,0.34449,2.15564,0.90718,0.83178,0.92214,0.68759,0.81514,0.18894,1.03513,0.00604005,3.99452e-05,3.99452e-05
9,5250.97,1.72244,0.34148,2.13206,0.89769,0.8552,0.93037,0.68534,0.82312,0.17991,1.03875,0.00554503,4.492e-05,4.492e-05
10,5803.21,1.70034,0.32806,2.12863,0.90415,0.85636,0.92989,0.71252,0.76518,0.1367,1.00588,0.00505,4.9888e-05,4.9888e-05
11,6353.8,1.63582,0.31132,2.06443,0.92815,0.82781,0.93083,0.70852,0.75816,0.16107,0.99598,0.00455496,5.48483e-05,5.48483e-05
12,6903.26,1.66432,0.31686,2.12404,0.9385,0.86248,0.94099,0.70988,0.76198,0.15157,0.99921,0.00405991,5.98001e-05,5.98001e-05
13,7455.04,1.66578,0.31492,2.10085,0.9382,0.86515,0.94307,0.72844,0.72722,0.14281,0.9927,0.00356485,6.47427e-05,6.47427e-05
14,8003.47,1.68138,0.30993,2.12519,0.9452,0.86248,0.94583,0.74519,0.695,0.12709,0.98143,0.00306978,6.96751e-05,6.96751e-05
15,8551.11,1.63747,0.29618,2.08762,0.93471,0.87049,0.94626,0.7552,0.64957,0.12585,0.96485,0.0025747,7.45967e-05,7.45967e-05
16,9096.48,1.61265,0.29123,2.05654,0.94562,0.85903,0.94854,0.76513,0.64808,0.11672,0.96235,0.00207961,7.95065e-05,7.95065e-05
17,9643.38,1.59889,0.29102,2.07441,0.9572,0.86596,0.95622,0.77831,0.6302,0.11162,0.95842,0.00158451,8.44038e-05,8.44038e-05
18,10188.5,1.59631,0.28317,2.06241,0.90527,0.91055,0.95302,0.77375,0.6368,0.11257,0.95781,0.0010894,8.92878e-05,8.92878e-05
19,10734,1.60613,0.28793,2.06399,0.95127,0.88652,0.96175,0.79037,0.60488,0.12183,0.94428,0.000594265,9.41577e-05,9.41577e-05
20,11279.6,1.59351,0.27941,2.06552,0.9496,0.88251,0.96044,0.79793,0.59329,0.10594,0.93931,9.912e-05,9.90126e-05,9.90126e-05
21,11823.3,1.6208,0.28186,2.0973,0.95294,0.88652,0.96973,0.80774,0.57715,0.10517,0.93862,9.89075e-05,9.89075e-05,9.89075e-05
